Result 1,Result 2,Result 3
"

My best guess of the unhealthy threshold amount is 40 ng/mL.","

My new best guess of the unhealthy threshold amount is 34 ng/mL.","

My new best guess of the unhealthy threshold amount is 28 ng/mL."
"

My best guess is that the unhealthy threshold amount is 40 ng/mL."," 

My new best guess is that the unhealthy threshold amount is 35 ng/mL.","

My new best guess is that the unhealthy threshold amount is 25 ng/mL."
"

My best guess is that the unhealthy threshold is 50 ng/mL or higher.","

My new best guess is that the unhealthy threshold is 35 ng/mL or higher.","

My new best guess is that the unhealthy threshold is 20 ng/mL or higher."
" 

My best guess of the unhealthy threshold amount is 40 ng/mL.","

My new best guess of the unhealthy threshold amount is 35 ng/mL.","

My new best guess of the unhealthy threshold amount is 30 ng/mL."
"

My best guess is that the unhealthy threshold amount may be 40 ng/mL or higher.","

My new best guess is that the unhealthy threshold amount is 35 ng/mL or higher.","

My new best guess is that the unhealthy threshold amount is 25 ng/mL or higher."
" 

My guess for the unhealthy threshold amount is 50 ng/mL.","

My new guess for the unhealthy threshold amount is 40 ng/mL.","

My new guess for the unhealthy threshold amount is 25 ng/mL."
"

My best guess is that the unhealthy threshold is 35 ng/mL or higher.","

My new best guess is that the unhealthy threshold is 35 ng/mL or higher.","

My new best guess is that the unhealthy threshold is 35 ng/mL or higher."
"

My best guess would be 50 ng/mL.","

My new best guess would be 35 ng/mL.","

My new best guess would be 25 ng/mL."
 A rough guess would be 40 ng/mL., A rough guess would be 37 ng/mL., A rough guess would be 27 ng/mL.
"

My best guess for the unhealthy threshold amount is 36 ng/mL.","

My new best guess for the unhealthy threshold amount is 35 ng/mL.","

My new best guess for the unhealthy threshold amount is 30 ng/mL."
" 

My guess is that the unhealthy threshold amount is 40 ng/mL.","

My new guess is that the unhealthy threshold amount is 35 ng/mL.","

My new guess is that the unhealthy threshold amount is 30 ng/mL."
My best guess is that the unhealthy threshold is between 35 and 40 ng/mL.,My new best guess is that the unhealthy threshold is between 35 and 25 ng/mL.,My new best guess is that the unhealthy threshold is between 35 and 15 ng/mL.
"

My best guess is that the unhealthy threshold amount is 35 ng/mL.","

My new best guess is that the unhealthy threshold amount is 35 ng/mL.","

My new best guess is that the unhealthy threshold amount is 35 ng/mL."
" 

My best guess of the unhealthy threshold amount is 40 ng/mL.","

My new best guess of the unhealthy threshold amount is 35 ng/mL.","

My new best guess of the unhealthy threshold amount is 28 ng/mL."
"

My best guess for the unhealthy threshold amount would be 40 ng/mL.","

My new best guess of the unhealthy threshold amount would be 35 ng/mL.","

My new best guess of the unhealthy threshold amount would be 28 ng/mL."
"

My best guess is that the unhealthy threshold amount is 40 ng/mL.","

My new best guess is that the unhealthy threshold amount is 35 ng/mL.","

My new best guess is that the unhealthy threshold amount is 25 ng/mL."
,,
"

My best guess for the unhealthy threshold amount of the environmental toxin is 35 ng/mL.","

My new best guess for the unhealthy threshold amount of the environmental toxin is 35 ng/mL.","

My new best guess for the unhealthy threshold amount of the environmental toxin is 35 ng/mL."
"

I would guess the unhealthy threshold might be 40 ng/mL.","

I would now guess the unhealthy threshold is about 30 or 32 ng/mL.","

I would now guess the unhealthy threshold is around 25 ng/mL."
"      

My guess is 40 ng/mL."," 

My guess is 35 ng/mL."," 

My guess is 30 ng/mL."
"

My best guess of the unhealthy threshold amount is 40 ng/mL.","

My new best guess of the unhealthy threshold amount is 35 ng/mL.","

My new best guess of the unhealthy threshold amount is 32 ng/mL."
"

My best guess is that the unhealthy threshold is between 35-40 ng/mL.","

My best guess is that the unhealthy threshold is between 35-40 ng/mL.","

My best guess is that the unhealthy threshold is between 15-20 ng/mL."
"   

My best guess for the unhealthy threshold amount is 40 ng/mL.","

My new best guess for the unhealthy threshold amount is 35 ng/mL.","

My new best guess for the unhealthy threshold amount is 25 ng/mL."
" 

My guess is that the unhealthy threshold amount is 35 ng/mL.","

My guess is that the unhealthy threshold amount is 36 ng/mL.","

My guess is that the unhealthy threshold amount is 37 ng/mL."
"

I would guess that the unhealthy threshold could be around 50 ng/mL.","

I would now guess that the unhealthy threshold could be around 30 ng/mL.","

I would now guess that the unhealthy threshold could be around 25 ng/mL."
" 

I'm guessing that the unhealthy threshold amount is 40 ng/mL.","

My new best guess is 40ng/mL.","

My new best guess of the unhealthy threshold amount is 40 ng/mL."
"

My best estimate of the unhealthy threshold amount is 40 ng/mL.","

My new best guessing of the unhealthy threshold amount is 35 ng/mL.","

My new best guess of the unhealthy threshold amount is 25 ng/mL."
"

I would guess that the unhealthy threshold amount is 40 ng/mL.","

I would guess that the unhealthy threshold amount is still 40 ng/mL.","

I would guess that the unhealthy threshold amount is now 30 ng/mL."
"

My guess would be 35 ng/mL as the unhealthy threshold.","

My new best guess would be 35 ng/mL as the unhealthy threshold.","

My new best guess would be 35 ng/mL as the unhealthy threshold."
"

My best guess would be a threshold of 35 ng/mL.","

My new best guess for the unhealthy threshold would be 35 ng/mL.","

My new best guess for the unhealthy threshold would be 35 ng/mL."
"

My best guess is that the unhealthy threshold amount is 40 ng/mL.","

My new best guess is that the unhealthy threshold amount is 34 ng/mL.","

My new best guess is that the unhealthy threshold amount is 27 ng/mL."
